TEMP,RELHUMID,PRESS,WINDSP,PRECI,Moisture
30.52,75.62,100.2,2.95,0.92,0.52
30.08,77.94,100.08,2.7,4.08,0.52
29.44,86.38,99.92,4.15,5.75,0.52
29.69,81.06,99.72,4.51,6.66,0.52
29.54,85.62,99.83,8.14,2.13,0.53
30.25,85.31,100.09,9.07,1.04,0.54
30.14,82.19,100.3,7.14,0.98,0.53
29.99,81.31,100.21,5.64,4.97,0.53
29.94,81.88,100.21,7.08,8.27,0.54
30.05,82.44,100.23,7.65,3.25,0.55
29.91,86.56,100.09,8.33,6.33,0.55
29.46,88.62,100.05,8.8,41.87,0.55
29.33,87.88,100.06,5.68,17.72,0.62
28.94,84.75,100.07,5.76,21.7,0.63
29.33,84.38,100.07,5.3,10.78,0.63
29.37,80.88,100.06,4.32,14.13,0.64
28.96,79.31,99.89,2.34,10.61,0.66
28.76,83.19,99.86,4.15,3.85,0.66
29.26,84.81,99.96,4.96,9.7,0.66
29.11,84.75,100.03,6.69,15.44,0.66
29.05,86.06,100.09,5.75,9.04,0.67
29,85.12,100.03,4.52,4.47,0.67
29.42,86.75,99.86,5.05,18.82,0.67
29.33,88.06,99.78,6.68,88.45,0.68
29.69,84.56,99.91,8.75,14.73,0.7
29.48,85.81,100.03,9.2,33.54,0.71
29.31,86.38,100.01,8.69,21.12,0.72
29.5,85.62,100.07,7.16,26.04,0.72
29,86.94,100.14,6.74,14.9,0.72
29.04,85.31,100.15,6.01,10.57,0.73
28.7,87.81,100.13,6.16,10.97,0.74
29.02,85.75,100.26,7.09,10.21,0.74
29.18,87.25,100.3,7.41,15.02,0.74
28.8,86.81,100.18,6.55,32.08,0.77
28.3,88.25,100.16,6.63,38.52,0.8
28.14,83.69,100.17,2.21,24.27,0.81
28.26,84.75,100.09,2.95,17.81,0.81
28.76,85.5,100.05,3.41,9.78,0.8
28.87,85.12,99.87,4.81,15.81,0.8
29.28,86.62,99.75,7.14,33.45,0.8
29.31,85.62,99.82,7.93,18.12,0.8
29.24,84.94,99.78,8.16,24.36,0.8
29.23,84.62,99.88,9.87,34.72,0.84
29.23,88.31,100.05,7.31,166.24,0.9
28.92,89.75,100.09,8.41,48.59,0.92
28.83,89.56,100.04,9.3,79.49,0.95
28.69,89.25,99.93,10.9,96.11,0.97
28.8,87.88,99.93,8.42,36.2,0.98
28.81,86.88,100.1,5.81,17.25,0.98
28.8,86.88,100.28,4.52,9.03,0.98
28.96,86.94,100.42,4.46,9.54,0.98
28.88,86.62,100.44,4.05,6.14,0.97
28.9,87,100.35,3.29,7.85,0.97
28.95,86.56,100.31,5.03,4.6,0.96
29.71,84.19,100.27,4.67,2.92,0.96
29.55,87.62,100.16,5.83,12.96,0.96
29,90.12,100,5.43,14.93,0.96
28.85,89.44,99.8,5.52,17.26,0.97
28.85,89.12,99.76,6.13,17.63,0.98
29.27,84.25,100.05,6.6,5.02,0.97
29.4,85.06,100.3,5.45,6.35,0.97
29.65,83.94,100.37,5.85,14.45,0.96
29.75,81.81,100.4,8.34,12.72,0.96
29.48,84.31,100.3,8.93,21.91,0.95
29.34,86.38,100.29,8.84,17.59,0.96
29.1,89.06,100.36,6.84,32.43,0.96
28.52,86.12,100.51,5.06,8.06,0.97
28.8,84.56,100.59,4.82,8.9,0.98
28.86,86.31,100.45,5.37,8.24,0.98
28.83,88.19,100.23,6.15,11.77,0.98
28.29,83.12,100.02,4.35,13.19,0.98
28.75,85.31,100.01,5.59,8.3,0.97
28.96,85.44,100.25,7.27,17.38,0.97
28.83,83.94,100.33,5.22,12.97,0.97
28.73,82.62,100.32,2.52,9.32,0.96
29.33,78.75,100.31,2.77,8.36,0.96
28.9,79.56,100.37,2.24,8.36,0.96
28.64,83.44,100.27,2.91,5.81,0.96
28.76,82.31,100.11,2.72,5.76,0.95
29.24,84.88,99.95,3.67,11,0.95
28.64,86.88,99.95,4.48,16.76,0.95
29.27,84.19,100.03,9.99,23.92,0.96
29.34,83.06,100.37,6.29,9.8,0.96
29.11,83.56,100.5,4.5,7.01,0.96
28.95,86.62,100.54,5.89,9.93,0.96
28.84,87.25,100.47,5.45,41.42,0.96
28.73,83.81,100.41,7.78,60.22,0.98
29.15,83.62,100.49,4.99,2.16,0.98
29.44,81.38,100.56,3.89,1.88,0.97
29.53,84.44,100.54,4.19,2.32,0.96
29.26,85.88,100.57,3.78,3.06,0.96
29.37,82.81,100.63,4.25,2.77,0.95
29.23,84.69,100.67,5.5,4.4,0.95
29.13,84.62,100.63,5.74,23.17,0.95
29.2,83.75,100.74,5.59,7.58,0.95
28.81,85.75,100.8,4.84,8.88,0.95
28.7,86.25,100.81,5.21,11.99,0.95
28.27,88.5,100.75,4.41,22.78,0.95
29,83,100.62,3.21,4.71,0.95
29.03,82.19,100.48,1.95,2.82,0.95
29.61,80.12,100.36,2.36,1.75,0.94
29.59,82.5,100.3,3,28.74,0.94
28.9,81.25,100.29,3.7,9.11,0.95
29.15,80.75,100.23,5.05,17.08,0.95
29.25,84.69,100.37,6.46,23.27,0.96
29.3,84.56,100.48,5.53,5.98,0.96
29.09,84.62,100.59,4.76,4.52,0.95
29.23,83.88,100.71,3.92,0.6,0.95
29.63,81.75,100.61,3.67,1.41,0.95
29.58,82.12,100.44,3.15,2.06,0.94
29.62,81.88,100.48,2.85,1.41,0.94
28.87,80.38,100.62,2.54,10.4,0.93
28.38,78.31,100.55,2.2,30.35,0.94
28.34,84.69,100.58,4.02,15.87,0.95
29.44,82.12,100.75,4.73,10.33,0.95
29.08,85,100.74,4.85,18.4,0.95
28.95,83.75,100.63,3.62,8.98,0.96
28.58,84.12,100.69,2.89,3.01,0.96
28.82,80.12,100.74,1.55,0.46,0.95
29.37,80.5,100.68,3.05,1.73,0.95
29.07,82.75,100.72,5.05,2.55,0.95
28.19,82.81,100.74,2.78,18.57,0.94
27.95,83.56,100.58,2.12,105.11,0.95
28.5,85.75,100.39,4.99,93.95,0.96
28.65,85.25,100.5,5.71,12.27,0.98
28.61,84.81,100.57,3.95,2.85,0.98
28.52,85.62,100.6,4.11,0.92,0.97
28.44,84.25,100.54,4.69,2.41,0.96
29.08,79.75,100.51,4.15,3.3,0.96
29.46,76.69,100.53,2.21,0.7,0.96
29.53,74,100.56,2.04,0.03,0.95
29.49,72.12,100.55,3.09,0.3,0.95
28.68,83.56,100.56,5.88,15.84,0.94
28.8,87.25,100.48,7.63,65.83,0.95
28.83,83.5,100.23,14.55,40.58,0.97
28.4,85.81,100.32,12.33,56.19,0.98
27.62,79,100.73,3.29,2.45,0.98
27.9,76.25,100.9,3.09,0.38,0.97
28.13,78.69,101.1,3.87,1.38,0.96
28.01,77.56,101.35,2.96,2.64,0.96
27.87,72.06,101.41,1.94,1.57,0.95
27.99,61,101.32,2.42,0.27,0.95
28.4,52.44,101.28,1.17,0,0.94
27.61,65.81,101.4,1.9,0.13,0.94
26.94,66.5,101.39,1.14,1.39,0.93
26.51,63.44,101.33,2.23,0,0.93
26.01,70.75,101.36,3.74,0,0.92
26.15,68.12,101.23,3.62,0,0.91
26.28,70.56,101.2,3.5,0,0.91
26.89,73.56,101.27,3.75,0.03,0.9
26.72,76.06,101.28,2.98,0.06,0.9
26.97,77.5,101.24,3.71,0.02,0.89
26.55,74.12,101.29,3.7,0,0.88
26.76,69.25,101.27,3.12,0,0.88
26.17,69.88,101.18,3,0,0.88
26.19,67,101.2,3.14,0,0.87
26.16,70.69,101.23,3.57,0,0.86
26.1,72.25,101.09,3.54,0,0.85
25.84,74.06,101,4.2,0,0.85
25.68,72.81,101.04,3.73,5.58,0.84
24.31,83.75,101.12,5.39,33.9,0.85
24.84,86.31,101.11,5.39,5.05,0.87
24.97,89.38,101.05,4.81,3.16,0.87
26.2,86.69,101.09,2.29,2.12,0.87
26.23,83.25,101.17,2.09,0.52,0.87
25.97,80.56,101.23,3.88,0.08,0.86
24.71,71.81,101.23,5.53,0.03,0.86
23.66,62.62,101.17,4.33,0.01,0.85
23.59,59.19,101.16,3.98,0,0.84
22.76,60.12,101.32,3.89,0,0.84
23.16,56.25,101.46,3.36,0,0.84
22.39,62.19,101.54,3.02,0,0.84
22.6,62.19,101.33,2.66,0,0.83
22.73,62,101.36,2.55,0,0.83
22.52,60.38,101.52,2.95,0,0.82
22.19,62.75,101.44,3.27,0,0.82
21.9,65.88,101.4,3.59,0,0.81
22.6,68.19,101.48,3.16,0,0.81
22.06,71.5,101.48,3.54,0,0.8
22.07,68.38,101.38,3.34,0,0.8
22.23,66.94,101.34,2.75,0,0.8
21.66,68.69,101.25,3.52,0,0.8
22.76,65.25,101.23,3.3,0.06,0.79
22.02,85.62,101.28,5.91,21.19,0.79
23.41,90.94,101.08,5.74,29.3,0.8
24.77,92.12,101,4.88,5.57,0.81
23.72,86.75,101.3,4.05,0.06,0.81
23.97,81.38,101.42,2.26,0,0.8
23.76,79.69,101.46,2.52,0,0.8
23.2,74.69,101.56,2.85,0,0.8
23.01,73.25,101.62,3.11,0,0.8
22.29,71.62,101.71,3.98,0,0.79
21.48,69.25,101.79,4.84,0,0.79
20.58,65.75,101.81,4.32,0,0.78
20.77,67.94,101.84,3.05,0,0.78
21.29,70.25,101.91,2.01,0,0.77
21.74,62.19,101.84,1.28,0,0.77
22.14,70,101.63,2.55,0,0.77
21.96,74.94,101.42,3.26,0,0.77
21.29,68.94,101.43,3.44,0,0.77
20.9,65.5,101.43,3.52,0,0.76
20.22,67.19,101.5,5.09,0,0.76
19.98,71.19,101.52,4.52,0,0.76
20.08,73.31,101.52,4.02,0,0.75
20.3,72.88,101.6,3.38,0,0.75
20.32,74.88,101.54,3.77,0,0.74
20.66,75.19,101.38,3.47,0,0.74
20.47,75.19,101.23,3.97,0,0.74
19.6,71.44,101.15,3.84,0,0.73
19.95,66.56,101.29,4.48,0,0.73
19.23,64.81,101.46,4.62,0,0.73
19.05,59.06,101.34,4.15,0,0.73
19.55,56.56,101.24,3.53,0,0.72
19.38,54.75,101.39,3.73,0,0.72
19.08,53.06,101.59,3.84,0,0.72
18.65,55.06,101.72,4.48,0,0.71
18.7,55.06,101.74,3.75,0,0.71
18.58,58.31,101.62,3.12,0,0.7
19.56,61.25,101.51,1.78,0,0.7
19.04,70.25,101.46,2.66,0,0.7
18.76,68.94,101.54,3.89,0,0.7
18.75,61.81,101.48,3.4,0,0.7
19.44,63.19,101.39,3.42,0,0.7
19.52,65.31,101.43,3.09,0,0.69
19.48,60.44,101.42,3.3,0,0.69
19.26,57.06,101.5,3.21,0,0.69
19.8,61.44,101.4,2.52,0,0.68
20.19,64.69,101.37,2.66,0,0.68
19.89,63.62,101.28,2.81,0,0.68
20.12,62.12,101.19,1.62,0,0.67
21.02,73.12,101.04,2.68,0,0.67
20.95,73.19,101.06,3.9,0,0.66
20.64,65.44,101.19,2.35,0,0.66
20.33,62.56,101.3,3.22,0,0.66
20.19,54.19,101.42,2.22,0,0.66
20.43,56.62,101.51,2.2,0,0.66
20.86,61.06,101.4,2.83,0,0.65
21.52,65.44,101.23,2.62,0,0.65
21.4,61.88,101.23,1.98,0,0.64
21.93,65.69,101.28,2.07,0,0.64
22.06,74.75,101.39,2.84,0,0.63
22.4,81.06,101.37,4.26,0,0.63
22.48,81.06,101.61,3.02,0,0.62
22.75,77.31,101.47,2.94,0,0.62
23.23,77.06,101.23,3.25,0,0.62
23.61,67.38,101.16,2.12,0,0.62
23.44,75.69,101.17,3.15,0,0.62
23.4,77.69,101.45,3.06,0,0.61
22.35,62.31,101.66,3.53,0,0.61
22.62,57,101.73,3.75,0,0.61
22.23,62.69,101.81,4.29,0,0.6
23.13,68.56,101.77,3.71,0,0.6
23.08,63.81,101.82,3.34,0,0.59
22.74,57.19,101.62,3.36,0,0.59
23.23,61.5,101.26,2.09,0,0.59
23.5,70.25,101.21,2.94,0,0.59
23.43,78.5,101.28,3.85,0,0.58
23.55,79.25,101.24,3.9,0,0.58
23.92,78.56,101.06,3.2,0,0.57
24.58,72.5,101.03,2.01,0,0.57
24.91,75.31,101.14,4.06,0,0.57
24.98,77.19,101.32,4.2,0,0.56
25.33,72.25,101.28,4.44,0,0.56
25.62,70.62,101.1,3.57,1.08,0.55
25.58,70.5,101.16,1.38,0.03,0.55
25.12,68,101.14,2.56,0.01,0.55
25.65,72.69,101.08,2.77,0.18,0.55
25.68,79.25,100.96,3.86,0.03,0.55
26.47,76.81,100.73,4.59,0.02,0.54
26.59,78.69,100.81,3.44,0.01,0.54
26.83,74,100.98,2.33,0.06,0.54
25.71,69,101.08,3.48,0.01,0.53
27,67.56,101.15,2.7,0.01,0.53
26.45,51.31,101.23,2.24,0,0.52
26.53,54.62,101.16,2.73,0,0.52
26.69,64,101.14,3.36,0,0.52
26.49,73.25,101.19,4.49,0,0.52
26.84,75.12,101.13,5.78,0.09,0.52
27.64,69.62,101.02,3.77,0.15,0.52
27.2,74.25,100.94,2.95,0.01,0.52
27.24,78.38,100.85,5.1,0.03,0.51
27.58,75.69,100.83,4.41,0.53,0.51
27.75,66.44,100.98,5.09,0.07,0.51
27.64,71.75,101.1,4.41,0.01,0.51
27.6,70.44,101.21,2.99,0.01,0.51
27.23,72.44,101.01,3.67,0,0.5
27.31,75.25,100.91,3.48,0,0.5
27.3,78.12,100.73,4.91,0.11,0.5
27.33,80.25,100.77,5.69,0.48,0.5
27.19,82.06,101.08,4.36,0.54,0.5
27.54,79.06,101.25,4.01,0.19,0.49
27.65,79.06,101.13,5.45,0.34,0.49
27.92,77.75,100.96,5.66,0.24,0.49
27.59,81.56,100.91,5.17,0.37,0.49
27.33,83.62,100.88,6.2,1.17,0.49
27.25,84.25,100.83,6.17,1.96,0.49
26.98,84.06,100.9,5.65,3.89,0.49
27.05,80.69,100.95,3.66,5.17,0.49
26.7,73.06,101.08,3.11,5.64,0.51
26.88,72.31,100.98,3.91,1.39,0.51
27.17,76.5,100.83,4.26,1.55,0.5
27.06,82.38,100.69,5.58,3.9,0.5
27.23,82.62,100.82,5.24,4.72,0.5
27.01,83.75,100.98,3.62,11.12,0.5
26.78,82.44,101.11,4.12,6.81,0.52
27.33,77.12,101.13,4.73,5.76,0.52
27.58,74.12,100.99,5.05,1.59,0.52
27.94,75.94,100.9,5.93,3.14,0.52
27.96,78.44,100.82,5.34,10.08,0.52
28.12,78.31,100.88,5.13,9.57,0.53
28.68,79.44,100.78,5.48,7.22,0.53
28.81,76.88,100.8,5.1,5.39,0.53
28.88,79.38,100.85,4.7,1.15,0.52
29.04,80.19,100.88,5.89,1.77,0.52
28.57,80.5,100.75,6.26,4.98,0.52
28.55,83.62,100.58,6.05,2.58,0.52
28.62,85.31,100.58,6.67,2.1,0.52
28.59,86.56,100.55,8.06,3.57,0.52
28.53,88.25,100.64,6.64,3.73,0.52
28.79,82.94,100.74,4.3,4.87,0.52
29.15,78.19,100.71,4.58,1.01,0.51
28.8,79.06,100.6,5.84,0.97,0.51
28.23,84.06,100.66,5.49,5.49,0.51
28.08,80.69,100.89,4.38,9.59,0.52
28.56,78.38,100.85,5.16,3.02,0.52
28.48,80.88,100.6,7.77,5.19,0.52
28.26,83.69,100.63,5.91,14.84,0.52
28.18,81.06,100.75,4.61,15.2,0.53
28.08,84.06,100.78,5,3.3,0.53
27.79,77.81,100.89,3.01,2.13,0.53
28.45,79.62,100.82,5.84,0.97,0.53
28.64,83.94,100.74,8.21,0.8,0.52
28.87,85.62,100.7,8.63,0.39,0.52
29.16,86.06,100.48,8.35,1.27,0.52
29.12,86.81,100.42,8.34,1.72,0.52
29.15,86.25,100.58,6.81,2.2,0.51
29.14,81.5,100.81,5.06,1.18,0.51
28.94,83.38,100.69,5.92,9.14,0.51
28.69,82.81,100.68,4.96,9.22,0.51
28.8,85.44,100.68,5.67,17.85,0.51
28.99,77.75,100.77,5.32,13.83,0.52
28.48,76.81,100.64,5.73,5.85,0.52
28.44,83.25,100.52,7.01,21.97,0.52
28.59,84.06,100.47,5.34,18.11,0.54
28.86,85.06,100.39,5.86,16.3,0.54
29.02,84.56,100.36,5.89,12.52,0.55
28.96,83.75,100.47,6.69,16.34,0.54
28.77,85,100.49,6.71,4.98,0.54
28.99,83.06,100.53,7.06,7.76,0.54
28.87,84.69,100.52,7.27,10.08,0.55
28.98,84.88,100.44,7.38,7.09,0.55
29.13,86.06,100.38,6.98,7.21,0.55
29.01,87.56,100.39,6.34,2.25,0.55
29.08,85.81,100.41,5.39,0.5,0.54
29.24,84.44,100.19,4.72,0.65,0.54
29.65,80.12,100.09,4.09,0.93,0.54
29.58,83.88,100.17,4.44,0.48,0.53
29.65,86.12,100.38,6.07,6.1,0.53
28.91,85.94,100.58,5.17,22.48,0.54
29.13,82.69,100.54,5.14,15.46,0.57
29.78,82.94,100.24,5.3,8.52,0.57
29.48,86.12,100.2,4.31,12.82,0.57
29.33,83.12,100.4,3.41,8.44,0.57
29.96,78.31,100.48,3.28,2.16,0.57
29.85,81.88,100.17,3.38,1.6,0.58
30.59,79.06,99.86,2.97,3.82,0.58
29.77,82.69,99.61,4.87,28.16,0.59
29.74,84.81,99.51,7.27,26.91,0.6
30.08,86.19,99.45,9.05,12.79,0.61
29.65,87.75,99.45,8.73,48.09,0.63
30.02,84.62,99.59,9.7,16.8,0.65
30.33,86.06,99.71,8.96,18,0.64
30.72,84.69,99.86,7.7,1.76,0.63
30.62,83.94,99.97,6.59,1.21,0.62
30.13,80.38,99.99,5.59,1.68,0.62
30.73,83.31,99.88,5.75,1.09,0.62
30.59,83.62,99.96,4.46,2.2,0.61
30.2,86.94,100.18,5.27,8.2,0.61
29.81,82.31,100.29,4.23,9.5,0.62
29.79,82.5,100.22,5.73,8.98,0.62
29.47,84.44,100.21,7.48,14.94,0.62
29.58,85.31,100.13,8.31,19.42,0.62
29.43,87.19,99.98,8.02,37.9,0.64
29.19,82.81,99.91,4.8,28.17,0.69
28.27,86.62,99.91,6.05,27.44,0.71
28.85,84.94,100.21,6.64,10.35,0.71
28.87,83.38,100.3,5.74,6.09,0.71
29.23,84.06,100.3,7.84,3.11,0.7
29.26,84.81,100.29,7.59,4.39,0.7
29.18,84.94,100.18,7.88,6.58,0.7
28.82,87.31,100.13,8.66,42.13,0.7
28.62,88.25,100.08,7.79,19.67,0.71
29.23,83.94,100.03,5.83,8.93,0.71
29.23,84.56,99.89,4.7,39.3,0.72
29.2,84.94,99.78,3.37,5.28,0.72
29.11,84.75,99.77,5.66,3.8,0.72
29.59,84,99.84,6.34,4.38,0.72
29.42,85.06,99.89,5.55,5.31,0.72
29.46,82.31,99.79,4.87,6.93,0.72
29.25,84.69,99.71,4.51,9.81,0.72
29.63,82.69,99.7,3.89,6.73,0.72
29.62,84.81,99.56,4.99,11.51,0.73
29.59,84.56,99.51,6.95,14.03,0.73
29.4,83.88,99.55,7.34,28.26,0.73
29.5,84.62,99.7,8.79,12.97,0.74
29.98,82,99.77,4.51,9.02,0.74
30.08,84.06,99.7,2.84,7.92,0.74
29.93,83.81,99.57,3.52,28.46,0.74
29.55,85.69,99.31,4.55,21.03,0.76
29.37,85,99.54,11.92,47.21,0.78
29.58,83.56,99.96,7.82,13.42,0.8
29.24,86,100.14,5.96,34.74,0.8
29.01,85.94,100.13,6.21,41.98,0.81
28.73,87.81,100.13,6.92,68.69,0.83
28.75,84.38,100.06,7.13,53.67,0.84
29.07,84.56,100.03,7.04,14.37,0.84
28.86,86.94,99.97,6.16,33.91,0.85
29.07,85.94,99.92,6.7,15.67,0.85
28.52,87.25,99.92,6.59,23.78,0.86
28.35,86.88,100.01,8.14,22.26,0.87
28.8,83.81,100.16,7.59,4.03,0.87
28.8,86.88,100.08,6.56,2.39,0.87
29.29,85.25,100.01,5.49,10.46,0.87
28.26,91.31,99.97,6.66,28.78,0.87
28.29,90.69,99.7,7.14,24.04,0.89
28.69,83.56,99.72,6.12,2.1,0.9
28.59,85.31,99.97,6.86,2.11,0.9
28.58,83.56,100.24,4.24,2.63,0.89
29.05,84.25,100.18,4.51,3.2,0.88
29.26,85.38,99.92,3.94,3.09,0.88
29.06,84.25,99.71,3.25,5.68,0.88
29.39,81,99.7,2.13,3.56,0.88
29.38,84.25,99.6,2.91,6.93,0.88
29.53,85.19,99.72,8.86,8.77,0.88
29.37,83.12,100.04,7.05,2.14,0.88
29.43,81.69,99.91,3.48,4.84,0.88
29.18,83.75,99.78,2.57,6.58,0.88
29.25,82.81,99.72,3.52,17.81,0.88
29.31,84.81,99.84,5.48,15.09,0.89
29.31,85.31,99.96,6.36,16.84,0.89
